woman,age,education,work,metropolitan_area,non_white,urban,work_permit,poverty
0,59,5,8,1,1,1,1,0
0,21,5,8,1,0,1,0,0
0,59,2,9,1,1,1,1,0
1,58,5,8,1,1,1,2,0
1,56,2,9,1,1,1,1,0
0,55,2,5,1,1,1,1,0
0,27,7,8,1,1,1,2,0
0,47,2,2,1,1,1,1,0
1,33,7,7,1,1,1,1,0
0,55,5,3,1,1,1,2,0
0,33,3,4,1,1,1,1,0
0,42,5,10,1,1,1,0,0
1,53,4,11,1,1,1,1,0
1,53,7,9,0,1,1,2,0
1,35,7,4,0,1,1,0,0
0,58,2,8,0,1,1,2,0
0,27,5,4,0,1,1,1,0
1,53,7,9,0,0,1,0,0
1,21,6,8,0,0,1,0,0
0,19,2,1,1,0,1,2,0
0,53,2,3,1,1,1,2,1
0,45,2,2,1,1,1,2,0
0,33,2,7,1,0,1,1,1
0,45,3,5,1,0,1,1,1
1,40,5,8,1,1,1,2,0
0,40,5,9,1,1,1,1,0
1,34,5,2,0,0,1,1,0
0,48,2,2,0,1,1,1,1
0,63,5,2,0,0,1,2,0
0,35,7,8,0,0,1,2,0
1,30,7,8,0,0,1,2,0
1,38,2,11,0,1,1,0,1
0,41,2,4,0,1,1,2,1
0,50,2,3,0,1,1,2,0
1,44,5,9,0,1,1,2,0
1,42,7,8,1,1,1,0,0
1,35,5,10,1,1,1,2,0
0,45,5,4,1,1,1,1,0
0,47,7,8,1,0,1,2,0
1,38,7,9,1,0,1,1,0
0,24,7,9,1,0,1,2,0
0,54,7,7,1,0,1,2,0
0,45,5,8,1,0,1,2,0
1,45,7,8,1,1,1,0,0
0,32,2,4,1,1,1,2,0
1,47,5,10,1,1,1,1,0
0,40,3,4,0,0,1,1,0
0,36,2,1,0,0,1,0,1
1,36,2,11,0,1,1,0,1
0,19,2,3,0,1,1,0,1
0,37,2,7,0,1,0,1,0
1,30,7,9,0,1,0,2,0
1,38,7,9,0,0,1,1,0
0,21,5,4,0,1,1,1,1
1,26,5,9,0,1,1,1,0
1,26,4,6,0,0,1,1,0
0,55,2,5,0,0,1,2,0
0,32,7,4,0,0,1,2,0
0,38,3,10,0,1,1,2,0
1,33,5,4,0,1,1,2,0
0,53,3,9,0,1,1,2,0
1,48,7,9,0,0,1,2,0
0,45,2,1,0,1,1,1,0
1,22,5,4,0,1,1,0,0
0,22,4,4,0,1,1,1,0
1,62,5,9,1,1,1,2,0
1,32,5,4,1,1,1,1,0
1,37,5,8,1,1,1,2,0
0,45,5,3,1,1,1,2,0
0,57,2,4,1,0,1,2,0
0,33,5,4,1,1,1,1,0
0,48,3,5,1,1,1,2,0
0,55,5,8,1,1,1,2,0
1,51,5,4,1,1,1,2,0
0,28,6,7,1,0,1,1,0
0,45,5,10,1,1,1,2,0
1,62,7,9,1,1,1,2,0
1,37,7,9,0,1,1,1,0
0,42,5,4,0,1,1,1,0
1,60,5,9,0,1,1,2,0
0,45,3,4,0,1,1,1,1
0,17,2,4,0,1,1,1,1
0,25,5,6,0,1,1,0,0
0,21,5,1,0,1,1,1,0
0,50,2,9,0,0,1,0,0
0,33,6,5,0,1,1,1,0
0,28,6,8,0,1,1,1,0
0,59,2,4,0,1,1,1,0
0,36,7,8,1,0,1,2,0
1,43,7,9,1,0,1,1,0
0,49,7,8,1,1,1,2,0
1,53,5,4,1,1,1,2,0
1,20,5,11,1,1,1,0,0
0,15,2,4,1,1,1,0,0
1,56,2,4,1,1,1,2,0
0,65,2,4,1,1,1,2,0
0,26,5,4,1,0,1,2,0
0,47,5,8,1,1,1,2,0
1,28,5,10,1,1,1,2,0
0,23,5,9,1,1,1,0,0
0,55,2,1,0,1,0,2,0
0,30,2,1,0,1,0,2,0
0,44,2,1,0,1,0,2,1
0,37,4,7,1,1,1,2,1
0,54,5,5,1,1,1,2,0
1,26,7,4,1,1,1,1,0
0,42,5,8,1,1,1,2,0
1,38,5,9,1,1,1,1,0
0,62,2,3,1,1,1,2,1
0,41,4,3,1,1,1,2,1
0,28,5,8,1,1,1,2,0
1,25,6,4,1,1,1,1,0
0,43,4,7,1,1,1,1,1
0,26,2,2,0,1,1,2,0
1,52,2,11,0,0,1,0,0
0,41,4,3,0,1,1,1,0
1,42,7,10,0,1,1,2,0
0,35,2,3,0,1,1,0,1
1,36,1,11,0,1,1,1,1
1,53,7,9,1,1,1,2,0
0,59,7,7,1,1,1,2,0
0,37,7,8,1,1,1,2,0
0,34,7,8,1,1,1,2,0
1,33,7,9,1,1,1,2,0
0,53,2,3,1,1,1,2,1
1,36,5,5,1,1,1,1,1
0,24,5,6,1,1,1,1,0
0,40,5,4,1,0,1,1,0
0,46,2,1,0,1,0,2,0
0,20,5,4,0,1,0,1,0
1,18,4,4,0,0,0,0,0
0,62,2,1,0,1,0,2,1
0,58,2,1,0,0,0,2,0
1,52,5,9,0,1,0,2,0
0,40,4,4,0,0,0,2,0
0,33,7,4,0,1,0,2,0
1,32,7,10,0,1,0,0,0
0,26,2,1,0,0,0,2,0
0,24,5,1,0,1,0,0,1
0,63,2,1,0,0,0,2,1
1,37,7,1,0,0,0,2,1
1,50,3,1,0,0,0,2,1
0,52,2,1,0,1,0,2,0
0,60,2,1,0,1,0,2,1
0,42,2,1,0,1,0,1,1
0,29,2,5,0,0,0,0,0
0,53,2,1,0,0,0,0,0
0,61,1,1,0,1,0,2,1
1,40,2,11,0,1,1,0,0
1,54,7,8,0,1,1,2,0
0,53,2,3,0,1,1,2,0
1,33,7,8,0,0,1,2,0
0,58,5,8,0,0,1,2,0
0,27,7,7,0,1,1,1,0
1,33,3,11,0,1,1,1,0
0,25,6,10,1,1,1,2,1
0,41,5,5,1,0,1,2,0
0,46,5,7,1,1,1,1,0
1,44,5,9,1,0,1,2,0
1,35,5,9,1,1,1,2,0
0,35,2,2,0,0,1,1,1
1,45,2,11,0,1,1,0,1
1,35,2,11,0,1,1,0,0
0,28,5,1,0,1,1,2,0
0,43,2,1,0,0,1,2,0
0,39,5,4,0,1,1,1,1
0,29,7,4,0,1,1,1,0
1,31,7,8,0,0,1,2,0
0,40,2,1,0,1,0,2,0
0,56,2,1,0,0,0,2,1
0,35,2,1,0,1,0,0,1
0,50,2,1,0,1,0,2,0
0,64,2,1,0,1,0,2,0
0,46,2,1,0,1,0,2,0
1,37,5,9,0,1,0,1,0
0,35,5,1,0,1,0,2,1
0,55,1,1,0,1,0,2,1
1,54,2,2,0,1,0,0,1
0,52,1,6,0,1,0,2,0
1,28,2,1,0,0,0,2,0
0,35,2,2,0,0,0,1,0
0,31,5,1,0,1,0,0,1
0,46,2,5,0,1,0,1,0
1,47,4,11,0,0,1,0,0
0,50,4,5,0,0,1,0,0
0,48,7,5,0,1,1,2,0
1,36,7,9,0,1,1,2,0
1,19,6,7,0,0,1,0,0
0,36,2,2,0,1,1,2,0
1,34,6,6,0,1,1,1,0
0,44,3,2,0,1,1,2,0
0,23,6,4,0,1,1,1,0
0,55,2,3,1,1,1,2,1
0,40,3,10,1,1,1,2,0
1,72,5,9,1,1,1,2,0
0,48,5,3,1,1,1,2,0
1,22,5,6,1,1,1,2,0
1,55,7,8,1,1,1,2,0
0,62,2,3,1,1,1,2,0
1,50,7,9,0,1,1,2,0
0,42,5,7,0,0,1,1,0
0,42,2,4,0,0,1,2,0
0,57,7,7,0,1,1,2,0
1,40,6,7,0,1,1,1,0
1,48,7,2,0,1,1,2,0
0,30,4,2,0,1,1,1,0
0,20,4,4,0,0,1,1,0
0,28,3,1,0,1,0,2,1
0,48,2,1,0,1,0,1,0
1,27,7,4,0,1,0,1,0
0,30,5,1,0,1,0,2,1
1,23,4,11,0,1,0,0,1
0,45,2,1,0,1,0,2,0
1,42,7,9,0,0,0,2,0
0,30,3,1,0,0,0,2,1
0,49,2,1,0,0,0,2,0
1,40,5,4,0,1,1,2,0
0,32,5,3,0,1,1,0,0
0,19,4,3,0,1,1,0,0
0,57,2,1,0,1,1,1,0
0,46,3,2,0,1,1,1,0
0,57,3,4,0,1,1,2,0
1,33,7,3,1,1,1,2,0
0,35,5,3,1,1,1,1,0
0,31,6,8,1,1,1,2,0
0,25,5,4,1,0,1,1,1
0,49,2,3,1,1,1,2,0
1,42,2,11,1,0,1,1,0
1,28,5,11,1,0,1,1,0
0,23,4,4,1,1,1,1,0
0,27,3,4,1,1,1,2,1
0,43,2,3,1,0,1,2,0
1,42,7,9,1,1,1,1,1
0,22,4,4,1,0,1,1,0
1,43,4,4,1,1,1,1,0
0,48,2,5,1,1,1,1,0
1,55,2,6,1,1,1,1,0
0,53,2,1,0,1,0,2,0
0,51,1,1,0,0,0,2,0
0,67,2,1,0,0,1,2,0
0,29,7,7,0,1,1,2,0
1,28,7,7,0,0,1,2,0
1,40,7,1,0,0,1,2,0
0,30,5,7,0,1,1,2,1
0,63,5,3,1,0,1,2,0
0,50,7,9,1,1,1,1,0
0,33,6,2,1,1,1,2,0
0,69,5,6,1,1,1,2,0
0,56,5,4,1,0,1,2,0
1,48,7,8,1,0,1,2,0
0,44,5,4,1,1,1,2,0
1,46,5,8,1,1,1,2,0
1,51,2,9,1,1,1,1,0
0,44,4,3,1,0,1,1,0
1,53,7,10,1,0,1,1,1
1,44,7,9,1,1,1,1,0
0,29,5,4,1,1,1,2,0
0,54,2,1,0,1,0,2,0
0,77,2,1,0,1,0,2,0
0,68,2,1,0,0,0,2,0
0,36,2,1,0,1,0,2,1
1,40,2,4,0,0,0,2,1
0,38,5,4,0,0,0,2,1
0,36,7,9,0,0,1,2,0
0,40,2,1,0,1,1,2,0
1,35,5,4,0,1,1,1,0
0,48,7,9,0,1,1,0,0
0,50,2,4,0,0,1,2,0
1,37,5,4,0,0,1,2,0
0,26,5,5,0,0,1,1,0
0,67,4,8,0,1,1,2,0
1,64,2,6,0,0,1,2,0
0,33,5,5,0,1,1,1,1
0,51,2,1,0,1,0,2,1
0,48,2,4,0,0,0,1,0
1,42,2,1,0,1,0,2,0
1,17,4,7,0,1,0,0,0
0,51,2,1,0,1,0,0,1
1,47,2,4,0,1,0,2,1
0,62,2,1,0,1,0,2,0
